date,Death,isPartial
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,100,False
2020-04-26,80,False
2020-05-03,0,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,78,False
2020-05-31,0,False
2020-06-07,0,False
2020-06-14,54,False
2020-06-21,0,False
2020-06-28,60,False
2020-07-05,0,False
2020-07-12,0,False
2020-07-19,0,False
2020-07-26,58,False
2020-08-02,0,False
2020-08-09,54,False
2020-08-16,54,False
2020-08-23,0,False
2020-08-30,0,False
2020-09-06,0,False
2020-09-13,0,False
2020-09-20,60,False
2020-09-27,55,False
2020-10-04,57,False
2020-10-11,52,False
2020-10-18,50,False
2020-10-25,53,False
2020-11-01,0,False
2020-11-08,0,False
2020-11-15,0,False
2020-11-22,0,False
2020-11-29,0,False
2020-12-06,0,False
2020-12-13,52,False
2020-12-20,59,False
2020-12-27,64,False
2021-01-03,0,False
2021-01-10,0,False
2021-01-17,57,False
2021-01-24,0,False
2021-01-31,0,False
2021-02-07,57,False
2021-02-14,0,False
2021-02-21,51,False
2021-02-28,56,False
2021-03-07,54,False
2021-03-14,0,False
2021-03-21,51,False
2021-03-28,0,False
2021-04-04,0,False
